t,x,y,,,,,
0.00E+00,-5.24E-04,1.75E-04,,,,,
5.02E+00,-5.58E-03,-4.28E-02,,,,,
1.00E+01,-5.41E-03,-4.26E-02,,,,,
1.51E+01,-5.06E-03,-3.70E-02,,,,,
2.01E+01,-5.06E-03,-3.70E-02,,,,,
2.51E+01,-6.63E-03,-4.49E-02,,,,,
3.01E+01,-6.81E-03,-4.55E-02,,,,,
3.51E+01,-6.81E-03,-4.55E-02,,,,,
4.02E+01,-6.98E-03,-4.69E-02,,,,,
4.52E+01,-8.90E-03,-5.41E-02,,,,,
5.02E+01,-8.73E-03,-5.39E-02,,,,,
5.52E+01,-8.90E-03,-5.51E-02,,,,,
6.02E+01,-8.90E-03,-5.46E-02,,,,,
6.53E+01,-1.12E-02,-6.27E-02,,,,,
7.03E+01,-1.12E-02,-6.27E-02,,,,,
7.53E+01,-1.12E-02,-6.27E-02,,,,,
8.03E+01,-1.12E-02,-6.27E-02,,,,,
8.53E+01,-1.31E-02,-7.02E-02,,,,,
9.04E+01,-1.29E-02,-7.03E-02,,,,,
9.54E+01,-1.36E-02,-6.95E-02,,,,,
1.00E+02,-1.52E-02,-7.71E-02,,,,,
1.05E+02,-1.59E-02,-7.75E-02,,,,,
1.10E+02,-1.59E-02,-7.75E-02,,,,,
1.15E+02,-1.48E-02,-7.85E-02,,,,,
1.20E+02,-1.66E-02,-8.38E-02,,,,,
1.26E+02,-1.75E-02,-8.46E-02,,,,,
1.31E+02,-1.87E-02,-8.48E-02,,,,,
1.36E+02,-1.71E-02,-8.52E-02,,,,,
1.41E+02,-1.81E-02,-8.52E-02,,,,,
1.46E+02,-1.81E-02,-8.52E-02,,,,,
1.51E+02,-1.90E-02,-8.90E-02,,,,,
1.56E+02,-1.94E-02,-9.02E-02,,,,,
1.61E+02,-2.02E-02,-9.13E-02,,,,,
1.66E+02,-2.08E-02,-9.13E-02,,,,,
1.71E+02,-2.22E-02,-9.70E-02,,,,,
1.76E+02,-2.25E-02,-9.65E-02,,,,,
1.81E+02,-2.29E-02,-1.01E-01,,,,,
1.86E+02,-2.46E-02,-1.02E-01,,,,,
1.91E+02,-2.43E-02,-1.03E-01,,,,,
1.96E+02,-2.46E-02,-1.03E-01,,,,,
2.01E+02,-2.64E-02,-1.06E-01,,,,,
2.06E+02,-2.64E-02,-1.08E-01,,,,,
2.11E+02,-2.74E-02,-1.09E-01,,,,,
2.16E+02,-2.76E-02,-1.09E-01,,,,,
2.21E+02,-2.71E-02,-1.11E-01,,,,,
