t,x,y
0.00E+00,-3.39E-03,8.48E-04
5.00E+00,-3.39E-03,-1.70E-03
1.00E+01,-5.94E-03,-2.54E-03
1.50E+01,-4.24E-03,-8.48E-04
2.00E+01,-3.39E-03,-2.97E-03
2.50E+01,-4.66E-03,-4.24E-04
3.00E+01,-4.24E-03,-7.21E-03
3.50E+01,-4.24E-03,-7.21E-03
4.00E+01,-4.24E-03,-8.91E-03
4.50E+01,-4.24E-03,-1.23E-02
5.00E+01,-2.97E-03,-1.40E-02
5.50E+01,-3.39E-03,-1.23E-02
6.00E+01,-5.09E-03,-1.74E-02
6.50E+01,-4.24E-03,-1.65E-02
7.00E+01,-4.24E-03,-1.74E-02
7.50E+01,-4.66E-03,-1.74E-02
8.00E+01,-5.51E-03,-2.08E-02
8.50E+01,-5.51E-03,-2.12E-02
9.00E+01,-5.94E-03,-2.16E-02
9.50E+01,-5.94E-03,-2.16E-02
1.00E+02,-5.94E-03,-2.16E-02
1.05E+02,-4.66E-03,-2.54E-02
1.10E+02,-3.82E-03,-2.63E-02
1.15E+02,-3.82E-03,-2.63E-02
1.20E+02,-3.82E-03,-2.63E-02
1.25E+02,-5.94E-03,-3.27E-02
1.30E+02,-5.94E-03,-3.05E-02
1.35E+02,-5.94E-03,-3.05E-02
1.40E+02,-5.94E-03,-3.05E-02
1.45E+02,-6.78E-03,-3.60E-02
1.50E+02,-5.09E-03,-3.52E-02
1.55E+02,-7.21E-03,-3.43E-02
1.60E+02,-8.06E-03,-3.77E-02
1.65E+02,-8.06E-03,-3.82E-02
1.70E+02,-8.06E-03,-3.82E-02
1.75E+02,-8.06E-03,-3.82E-02
1.80E+02,-8.06E-03,-3.82E-02
1.85E+02,-8.48E-03,-4.28E-02
1.90E+02,-8.48E-03,-4.28E-02
1.95E+02,-8.48E-03,-4.28E-02
2.00E+02,-8.48E-03,-4.28E-02
2.05E+02,-8.48E-03,-4.28E-02
2.10E+02,-1.02E-02,-4.66E-02
2.15E+02,-1.02E-02,-4.66E-02
2.20E+02,-1.02E-02,-4.66E-02
2.25E+02,-1.27E-02,-5.17E-02
2.30E+02,-1.36E-02,-5.05E-02
2.35E+02,-1.19E-02,-5.13E-02
2.40E+02,-1.44E-02,-5.56E-02
2.45E+02,-1.44E-02,-5.56E-02
2.50E+02,-1.44E-02,-5.56E-02
2.55E+02,-1.19E-02,-5.47E-02
2.60E+02,-1.23E-02,-6.06E-02
2.65E+02,-1.27E-02,-6.06E-02
2.70E+02,-1.27E-02,-6.06E-02
