t,x,y
0.00E+00,3.36E-04,3.80E-04
5.02E+00,3.36E-04,-1.83E-04
1.00E+01,3.36E-04,-1.83E-04
1.51E+01,-6.42E-03,-5.27E-02
2.01E+01,-6.42E-03,-5.36E-02
2.51E+01,-6.42E-03,-5.41E-02
3.01E+01,-9.79E-03,-6.81E-02
3.51E+01,-1.02E-02,-6.86E-02
4.02E+01,-1.04E-02,-6.93E-02
4.52E+01,-1.40E-02,-8.25E-02
5.02E+01,-1.44E-02,-8.26E-02
5.52E+01,-1.22E-02,-7.60E-02
6.02E+01,-1.35E-02,-8.15E-02
6.53E+01,-1.77E-02,-9.39E-02
7.03E+01,-1.82E-02,-9.50E-02
7.53E+01,-1.82E-02,-9.50E-02
8.03E+01,-1.85E-02,-9.57E-02
8.53E+01,-2.26E-02,-1.06E-01
9.04E+01,-2.26E-02,-1.06E-01
9.54E+01,-2.26E-02,-1.07E-01
1.00E+02,-2.44E-02,-1.11E-01
1.05E+02,-2.58E-02,-1.16E-01
1.10E+02,-2.72E-02,-1.18E-01
1.15E+02,-2.72E-02,-1.18E-01
1.20E+02,-2.72E-02,-1.18E-01
1.26E+02,-3.20E-02,-1.28E-01
1.31E+02,-3.12E-02,-1.27E-01
1.36E+02,-3.16E-02,-1.27E-01
1.41E+02,-3.62E-02,-1.37E-01
1.46E+02,-3.58E-02,-1.34E-01
1.51E+02,-3.74E-02,-1.38E-01
1.56E+02,-3.68E-02,-1.35E-01
1.61E+02,-3.88E-02,-1.41E-01
1.66E+02,-4.02E-02,-1.43E-01
1.71E+02,-4.02E-02,-1.43E-01
1.76E+02,-4.07E-02,-1.44E-01
1.81E+02,-4.48E-02,-1.51E-01
1.86E+02,-4.52E-02,-1.52E-01
1.91E+02,-4.57E-02,-1.52E-01
1.96E+02,-4.61E-02,-1.53E-01
2.01E+02,-5.19E-02,-1.62E-01
2.06E+02,-5.09E-02,-1.61E-01
2.11E+02,-5.09E-02,-1.61E-01
2.16E+02,-5.09E-02,-1.61E-01
2.21E+02,-5.57E-02,-1.68E-01
2.26E+02,-5.59E-02,-1.68E-01
2.31E+02,-5.59E-02,-1.68E-01
2.36E+02,-5.59E-02,-1.68E-01
2.41E+02,-6.07E-02,-1.75E-01
2.46E+02,-5.96E-02,-1.74E-01
2.51E+02,-6.04E-02,-1.75E-01
2.56E+02,-6.09E-02,-1.76E-01
2.61E+02,-6.41E-02,-1.81E-01
2.66E+02,-6.49E-02,-1.82E-01
2.71E+02,-6.61E-02,-1.83E-01
2.76E+02,-6.61E-02,-1.83E-01
2.81E+02,-7.00E-02,-1.88E-01
2.86E+02,-7.00E-02,-1.88E-01
2.91E+02,-7.06E-02,-1.89E-01
2.96E+02,-7.07E-02,-1.89E-01
3.01E+02,-7.44E-02,-1.94E-01
3.06E+02,-7.58E-02,-1.95E-01
3.11E+02,-7.58E-02,-1.96E-01
3.16E+02,-7.62E-02,-1.96E-01
3.21E+02,-7.92E-02,-2.05E-01
3.26E+02,-8.10E-02,-2.02E-01
3.31E+02,-8.10E-02,-2.02E-01
3.36E+02,-8.15E-02,-2.03E-01
3.41E+02,-8.76E-02,-2.07E-01
3.46E+02,-8.60E-02,-2.08E-01
3.51E+02,-8.60E-02,-2.08E-01
3.56E+02,-8.73E-02,-2.09E-01
3.61E+02,-9.09E-02,-2.13E-01
3.66E+02,-9.15E-02,-2.15E-01
3.71E+02,-9.21E-02,-2.15E-01
3.77E+02,-9.32E-02,-2.16E-01
3.82E+02,-9.73E-02,-2.20E-01
3.87E+02,-9.83E-02,-2.22E-01
3.92E+02,-9.85E-02,-2.22E-01
3.97E+02,-9.95E-02,-2.23E-01
4.02E+02,-1.01E-01,-2.25E-01
4.07E+02,-1.02E-01,-2.27E-01
4.12E+02,-1.04E-01,-2.29E-01
4.17E+02,-1.05E-01,-2.31E-01
4.22E+02,-1.08E-01,-2.34E-01
4.27E+02,-1.12E-01,-2.38E-01
4.32E+02,-1.17E-01,-2.43E-01
